Country,TotalCases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
World,1836041,56298,113233,4454,420955,1301853,50654,236,14.5,,
USA,550145,17266,21649,1072,31120,497376,11662,1662,65,2766616,8358
Spain,166019,2992,16972,366,62391,86656,7371,3551,363,355000,7593
Italy,156363,4092,19899,431,34211,102253,3343,2586,329,1010193,16708
France,132591,2937,14393,561,27186,91012,6845,2031,221,333807,5114
Germany,126656,1204,2908,37,60300,63448,4895,1512,35,1317887,15730
UK,84279,5288,10612,737,344,73323,1559,1241,156,352974,5200
China,82052,99,3339,,77575,1138,139,57,2,,
Iran,71686,1657,4474,117,43894,23318,3930,853,53,263388,3136
Turkey,56956,4789,1198,97,3446,52312,1665,675,14,376100,4459
Belgium,29647,1629,3600,254,6463,19584,1223,2558,311,102151,8814
Netherlands,25587,1174,2737,94,250,22600,1384,1493,160,101534,5926
Switzerland,25407,300,1106,70,12700,11601,386,2936,128,193800,22393
Canada,24283,965,713,60,7106,16464,557,643,19,401552,10639
Brazil,21065,103,1144,4,173,19748,296,99,5,62985,296
Portugal,16585,598,504,34,277,15804,228,1627,49,163616,16046
Russia,15770,2186,130,24,1291,14349,8,108,0.9,1200000,8223
Austria,13945,139,350,13,6987,6608,243,1548,39,144877,16086
Israel,10878,135,103,2,1388,9387,174,1257,12,117339,13557
S. Korea,10512,32,214,3,7368,2930,55,205,4,514621,10038
Sweden,10483,332,899,12,381,9203,839,1038,89,54700,5416
Ireland,9655,727,334,14,25,9296,194,1955,68,53000,10734
India,9166,720,325,37,1061,7780,,7,0.2,189111,137
Ecuador,7466,209,333,18,501,6632,184,423,19,23635,1340
Chile,7213,286,80,7,2059,5074,387,377,4,82271,4304
Peru,6848,,181,,1739,4928,142,208,5,67712,2054
Japan,6748,,108,,762,5878,117,53,0.9,68771,544
Poland,6674,318,232,24,439,6003,160,176,6,138007,3646
Norway,6485,76,126,7,32,6327,59,1196,23,126486,23332
Australia,6313,10,59,3,3338,2916,81,248,2,353941,13880
Romania,6300,310,316,25,852,5132,204,327,16,62328,3240
Denmark,6174,178,273,13,2123,3778,104,1066,47,70125,12107
Czechia,5952,50,138,9,464,5350,87,556,13,125126,11684
Pakistan,5230,219,91,5,1028,4111,37,24,0.4,61801,280
Malaysia,4683,153,76,3,2108,2499,66,145,2,71897,2221
Philippines,4648,220,297,50,197,4154,1,42,3,33814,309
Saudi Arabia,4462,429,59,7,761,3642,67,128,2,115585,3320
Indonesia,4241,399,373,46,359,3509,,16,1,27075,99
Mexico,4219,375,273,40,1772,2174,89,33,2,35479,275
